RecordNum,Date Time(UTC),P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N1ET_sec,N1T_C,N1RH
332, 2019/12/14 19:00:00,977.21,977.4,3.3,7.5,0.2,59.8,14.702,2239,3600,5.8,0
333, 2019/12/14 20:00:00,975.76,976.1,3.7,7.4,-0.1,60.1,14.625,2137,3600,6.1,0
334, 2019/12/14 21:00:00,975.84,976.2,3,7.3,-0.3,59.5,13.32,2195,3600,5.5,0
335, 2019/12/14 22:00:00,976.21,976.5,2.2,7.2,-0.6,59.8,13.072,2264,3600,4.8,0
336, 2019/12/14 23:00:00,976.74,976.7,1.3,7.1,-1.6,61.3,12.836,2187,3600,3.9,0
337, 2019/12/15 00:00:00,977.12,977.2,0.2,7,-2.3,61.8,12.773,2129,3600,3,0
338, 2019/12/15 01:00:00,977.46,977.5,-0.7,6.9,-2.9,63.3,12.734,2188,3600,2.1,0
339, 2019/12/15 02:00:00,977.77,977.9,-1.2,6.9,-3.5,65.1,12.704,2127,3600,1.5,0
340, 2019/12/15 03:00:00,977.85,978.1,-1.7,6.9,-4.1,65.3,12.676,2051,3600,0.8,0
341, 2019/12/15 04:00:00,978.08,978.3,-2.1,7,-4.4,66.6,12.65,2131,3600,0.4,0
342, 2019/12/15 05:00:00,978.14,978.3,-2.3,7,-4.4,66.8,12.624,2106,3601,0.1,0
343, 2019/12/15 06:00:00,978.21,978.4,-2.4,6.9,-4.6,69,12.595,2119,3600,0,0
344, 2019/12/15 07:00:00,977.37,977.5,-2.5,7,-4.8,70,12.565,2113,3600,-0.2,0
345, 2019/12/15 08:00:00,977.87,978,-2.7,7.1,-4.8,71.5,12.536,2096,3600,-0.4,0
346, 2019/12/15 09:00:00,978.18,978.5,-2.7,7.1,-4.8,72.5,12.516,2114,3600,-0.4,0
347, 2019/12/15 10:00:00,978.24,978.5,-2.7,7.1,-4.8,72.2,12.507,2134,3600,-0.4,0
348, 2019/12/15 11:00:00,977.97,978.2,-2.7,7.1,-5.3,80.8,12.501,2108,3600,-0.5,0
349, 2019/12/15 12:00:00,977.58,977.8,-3.2,7.2,-5.7,89.5,12.494,2179,3600,-0.9,0
350, 2019/12/15 13:00:00,977.4,977.7,-3.4,7.2,-5.7,91.5,12.49,2141,3600,-1.2,0
351, 2019/12/15 14:00:00,977.13,977.4,-3.6,7.3,-6,92.8,12.488,2159,3600,-1.3,0
352, 2019/12/15 15:00:00,977.77,978,-3.6,7.4,-5.9,92.6,12.501,2063,3601,-1.4,0
353, 2019/12/15 16:00:00,978.21,978.5,-3.3,7.6,-5.5,91.1,12.524,2121,3600,-1.2,0
354, 2019/12/15 17:00:00,977.94,978.3,-2.8,7.8,-5.2,89.3,12.543,2099,3600,-0.8,0
355, 2019/12/15 18:00:00,977.52,977.7,-2.8,7.9,-5.3,93,12.544,2025,3600,-0.6,0
356, 2019/12/15 19:00:00,977.26,977.6,-2.2,8,-5.3,91.8,12.524,2011,3600,-0.2,0
357, 2019/12/15 20:00:00,977.1,977.4,-2.3,8.1,-5.1,92.6,12.532,2111,3600,-0.1,0
358, 2019/12/15 21:00:00,977.44,977.6,-2.4,8.2,-5.4,93.5,12.519,1960,3600,-0.2,0
359, 2019/12/15 22:00:00,977.63,977.8,-2.4,8.3,-5.2,92.9,12.515,1984,3600,-0.2,0
360, 2019/12/15 23:00:00,978.35,978.7,-2.8,8.3,-5.3,91.4,12.492,1980,3600,-0.6,0
361, 2019/12/16 00:00:00,978.7,979,-3,8.3,-5.1,90.3,12.49,2026,3600,-0.7,0
362, 2019/12/16 01:00:00,979.66,979.9,-2.9,8.3,-4.9,90.4,12.487,1886,3601,-0.7,0
363, 2019/12/16 02:00:00,980.56,980.6,-2.9,8.3,-5,88.1,12.485,1890,3600,-0.7,0
364, 2019/12/16 03:00:00,980.76,980.9,-3,8.3,-5.3,87.7,12.483,1858,3600,-0.8,0
365, 2019/12/16 04:00:00,981.11,981.3,-3.3,8.3,-5.5,88.5,12.48,1871,3600,-1,0
366, 2019/12/16 05:00:00,981.09,981.2,-3.5,8.2,-5.6,88.9,12.477,1913,3600,-1.2,0
367, 2019/12/16 06:00:00,980.12,980.3,-3.6,8.2,-5.8,89.9,12.474,1989,3600,-1.4,0
368, 2019/12/16 07:00:00,981.09,981.3,-3.7,8.2,-5.8,89.1,12.472,1884,3600,-1.5,0
369, 2019/12/16 08:00:00,982,982.2,-3.7,8.2,-5.8,90.1,12.47,1825,3600,-1.5,0
370, 2019/12/16 09:00:00,982.7,982.9,-3.7,8.2,-5.7,91.2,12.469,1864,3600,-1.5,0
371, 2019/12/16 10:00:00,982.22,982.4,-3.6,8.2,-5.5,91.3,12.468,1873,3601,-1.4,0
372, 2019/12/16 11:00:00,982.04,982.3,-3.5,8.3,-5.4,88.8,12.467,1858,3600,-1.3,0
373, 2019/12/16 12:00:00,982.75,982.9,-3.5,8.3,-5.6,88.7,12.466,1875,3600,-1.4,0
374, 2019/12/16 13:00:00,983.24,983.4,-3.7,8.2,-5.7,87.7,12.464,1895,3600,-1.4,0
375, 2019/12/16 14:00:00,983.55,983.8,-3.8,8.3,-6,88.1,12.463,1915,3600,-1.6,0
376, 2019/12/16 15:00:00,984.13,984.4,-3.7,8.4,-6,89.5,12.48,1895,3600,-1.5,0
377, 2019/12/16 16:00:00,985.02,985.2,-3.1,8.5,-5.5,88,12.512,1907,3600,-1,0
378, 2019/12/16 17:00:00,985.07,985.3,-2.2,8.6,-5,85.3,13.118,1863,3600,-0.2,0
379, 2019/12/16 18:00:00,984.77,985.1,-0.6,8.5,-4,81.1,13.365,1807,3600,1.1,0
380, 2019/12/16 19:00:00,984.16,984.5,0,8.4,-4.1,84.3,13.295,1873,3600,1.9,0
381, 2019/12/16 20:00:00,983.98,984.3,-0.1,8.4,-3.7,84.2,13.38,1891,3601,2,0
382, 2019/12/16 21:00:00,984.45,984.6,-0.3,8.4,-3.9,85.2,13.272,1759,3600,1.9,0
383, 2019/12/16 22:00:00,984.94,985.2,-0.9,8.4,-3.9,84.3,13.14,1909,3600,1.5,0
384, 2019/12/16 23:00:00,985.66,985.8,-1.8,8.3,-5.2,86.3,12.915,1770,3600,0.6,0
385, 2019/12/17 00:00:00,986.21,986.4,-4.2,8.2,-6.3,90.9,12.747,1789,3600,-1.5,0
386, 2019/12/17 01:00:00,986.8,986.9,-6.7,8.1,-9.3,97.7,12.677,1853,3600,-3.9,0
387, 2019/12/17 02:00:00,987.05,987.5,-9.2,8,-12.2,93.7,12.62,1870,3600,-6.3,0
388, 2019/12/17 03:00:00,987.46,987.9,-11.4,7.8,-13.2,91.8,12.566,1904,3600,-8.6,0
389, 2019/12/17 04:00:00,987.77,988.4,-12.7,7.8,-15.4,90.7,12.517,1856,3600,-10.2,0
390, 2019/12/17 05:00:00,988.49,988.8,-13.4,7.8,-14.6,90.9,12.472,1772,3601,-11.1,0
391, 2019/12/17 06:00:00,988.64,989.1,-14,7.7,-14.8,90.7,12.428,1779,3600,-11.9,0
392, 2019/12/17 07:00:00,988.9,989.5,-14.1,7.7,-14.4,90.6,12.4,1905,3600,-12,0
393, 2019/12/17 08:00:00,988.69,989.4,-12.1,7.9,-12.6,92.1,12.389,1822,3600,-10.5,0
394, 2019/12/17 09:00:00,989,989.6,-11,8,-11.9,92.7,12.385,1796,3600,-9.5,0
395, 2019/12/17 10:00:00,988.46,989.2,-10.6,7.9,-12.5,92.3,12.385,1765,3601,-9,0
396, 2019/12/17 11:00:00,988.63,989.3,-10.6,8,-11.9,92.6,12.378,1772,3600,-8.8,0
397, 2019/12/17 12:00:00,988.75,989.4,-10.3,8,-12.3,92.3,12.381,1834,3600,-8.4,0
398, 2019/12/17 13:00:00,988.92,989.6,-10.6,7.9,-12.3,92.5,12.378,1774,3600,-8.6,0
399, 2019/12/17 14:00:00,989.24,990,-11.4,7.9,-12.5,92.3,12.459,1759,3600,-9.1,0
400, 2019/12/17 15:00:00,989.51,990.2,-10,8,-10.7,91.6,14.94,1841,3600,-7.8,0
401, 2019/12/17 16:00:00,990.02,990.4,-6.5,8,-8.8,93.2,14.955,1879,3601,-4.2,0
402, 2019/12/17 17:00:00,989.82,990.2,-3.8,8,-6.3,93,13.535,1861,3600,-0.4,0
403, 2019/12/17 18:00:00,988.92,989.3,-1.9,8,-4,83.3,13.415,1843,3600,2.4,0
404, 2019/12/17 19:00:00,987.94,988.3,0.4,7.9,-2.6,77.2,14.786,1839,3600,4.2,0
405, 2019/12/17 20:00:00,987.4,987.8,1.8,7.8,-2,74.7,14.346,1842,3600,5.1,0
406, 2019/12/17 21:00:00,986.99,987.4,2.8,7.7,-0.9,71.4,14.314,1808,3600,5.6,0
407, 2019/12/17 22:00:00,987.27,987.5,2.6,7.5,-1.6,72.7,14.336,1909,3600,5.3,0
408, 2019/12/17 23:00:00,987.47,987.7,0.7,7.4,-3.2,76.9,13.125,1808,3600,3.3,0
409, 2019/12/18 00:00:00,987.42,987.7,-2.5,7.4,-4.4,84,12.831,1786,3600,0.6,0
410, 2019/12/18 01:00:00,987.5,987.8,-6.2,7.4,-9,95.9,12.75,1881,3600,-3,0
411, 2019/12/18 02:00:00,987.81,988.3,-7.3,7.4,-6.1,86.9,12.71,1898,3600,-4.2,0
412, 2019/12/18 03:00:00,987.4,987.8,-7.9,7.4,-8.7,96.8,12.682,1850,3601,-5.3,0
413, 2019/12/18 04:00:00,987.56,988,-8.6,7.4,-10.3,96.1,12.658,1840,3600,-6.2,0
414, 2019/12/18 05:00:00,988.05,988.5,-9.2,7.4,-10.9,95.1,12.64,1829,3600,-6.9,0
415, 2019/12/18 06:00:00,987.91,988.6,-10.1,7.4,-11.8,94.6,12.621,1838,3600,-7.7,0
416, 2019/12/18 07:00:00,987.76,988.3,-10.5,7.4,-12.5,92.7,12.609,1760,3600,-8.3,0
417, 2019/12/18 08:00:00,987.57,988.3,-11.1,7.4,-12.7,92.7,12.595,1764,3600,-8.9,0
418, 2019/12/18 09:00:00,988.27,989,-11.5,7.4,-13.4,93.1,12.584,1816,3601,-9.3,0
419, 2019/12/18 10:00:00,988.41,989.2,-12.1,7.4,-13.7,91.7,12.571,1866,3600,-9.9,0
420, 2019/12/18 11:00:00,988.51,989.2,-12.7,7.3,-13.8,92.9,12.559,1812,3600,-10.5,0
421, 2019/12/18 12:00:00,988.73,989.4,-13,7.3,-14,92.3,12.547,1838,3600,-10.8,0
422, 2019/12/18 13:00:00,989.19,989.8,-13.4,7.3,-14.6,91.6,12.537,1788,3600,-11.3,0
423, 2019/12/18 14:00:00,989.05,989.7,-13.6,7.3,-14.4,91.4,12.724,1808,3600,-11.4,0
424, 2019/12/18 15:00:00,988.96,989.8,-11.1,7.5,-10.6,87.3,14.942,1812,3601,-9,0
425, 2019/12/18 16:00:00,989.44,990,-6.5,7.7,-8,87.8,14.951,1834,3600,-4.3,0
426, 2019/12/18 17:00:00,988.53,989.1,-2.4,7.7,-1.4,70.8,13.733,1811,3600,1,0
427, 2019/12/18 18:00:00,987.48,988,1.5,7.7,0.8,63.3,13.638,1831,3600,5.1,0
428, 2019/12/18 19:00:00,986.21,986.6,4.2,7.6,2.2,63.5,14.246,1868,3600,7.5,0
429, 2019/12/18 20:00:00,985.18,985.8,5.8,7.5,4.1,57.9,14.18,1844,3600,9,0
430, 2019/12/18 21:00:00,984.59,985.2,7.3,7.3,5.1,57.4,14.154,1921,3600,10.4,0
431, 2019/12/18 22:00:00,984.26,984.9,7.4,7.2,4.7,58.3,14.184,1842,3600,10.4,0
432, 2019/12/18 23:00:00,984.34,985,5.8,7.1,3.1,64.9,13.025,1852,3600,9,0
433, 2019/12/19 00:00:00,984.01,984.6,4.5,7.1,3.6,62.8,12.828,1833,3600,7.6,0
434, 2019/12/19 01:00:00,983.91,984.4,4.6,7.2,3.2,65.1,12.786,1829,3600,7.3,0
435, 2019/12/19 02:00:00,983.64,984.2,4.4,7.3,3.2,63.7,12.76,2014,3600,7.1,0
436, 2019/12/19 03:00:00,983.4,984,4.3,7.4,3.5,58.6,12.742,1854,3600,6.9,0
437, 2019/12/19 04:00:00,983.13,983.6,4.5,7.4,3.2,56.8,12.728,1879,3601,7,0
438, 2019/12/19 05:00:00,983.02,983.6,4.3,7.3,3.3,53,12.714,1881,3600,6.9,0
439, 2019/12/19 06:00:00,982.98,983.5,4.2,7.2,3.3,52.7,12.703,1912,3600,6.8,0
440, 2019/12/19 07:00:00,982.8,983.3,4.1,7.2,3.1,52.3,12.691,1896,3600,6.7,0
441, 2019/12/19 08:00:00,982.81,983.2,3.8,7.1,3,49.4,12.68,1892,3600,6.4,0
442, 2019/12/19 09:00:00,983.15,983.4,3.3,7,2.7,49.9,12.669,1870,3600,6,0
443, 2019/12/19 10:00:00,982.82,983.1,3.3,6.9,2.1,50.4,12.66,1919,3600,6,0
444, 2019/12/19 11:00:00,982.72,983.1,2.5,6.8,1.3,53.3,12.649,1923,3600,5.3,0
445, 2019/12/19 12:00:00,982.74,983.1,1.9,6.8,1.9,50.8,12.637,1940,3600,4.7,0
446, 2019/12/19 13:00:00,982.86,983.2,2.3,6.8,1.5,52.9,12.633,1903,3600,4.9,0
447, 2019/12/19 14:00:00,982.99,983.2,1.2,6.7,0.6,56.1,12.789,1918,3600,4.1,0
448, 2019/12/19 15:00:00,983.12,983.5,2.4,6.7,2.6,51.1,14.704,1927,3600,5.4,0
449, 2019/12/19 16:00:00,983.19,983.8,5.2,6.6,3.9,48,14.62,1862,3600,8.3,0
450, 2019/12/19 17:00:00,983.11,983.7,6.9,6.4,5.2,46.5,14.567,1866,3600,10.6,0
451, 2019/12/19 18:00:00,982.35,982.9,8,6.5,6.3,44.8,14.149,1978,3600,11.9,0
452, 2019/12/19 19:00:00,981.69,982.2,9.3,6.4,7.8,42,14.089,1970,3600,12.7,0
453, 2019/12/19 20:00:00,981.34,981.8,10.7,6.4,9.1,39.8,14.06,2003,3601,13.7,0
454, 2019/12/19 21:00:00,981.04,981.5,11.5,6.2,9.2,37.4,14.027,1936,3600,14.3,0
455, 2019/12/19 22:00:00,981.17,981.6,10.8,6.1,8,41.6,13.925,1913,3600,13.8,0
456, 2019/12/19 23:00:00,981.44,981.8,8.3,6.1,6.1,46.3,12.895,2001,3600,11.8,0
457, 2019/12/20 00:00:00,981.6,982.1,7,6.1,5.9,47.2,12.806,1908,3600,10.4,0
458, 2019/12/20 01:00:00,981.74,982.3,6.8,6.1,6,45.5,12.773,1942,3600,9.9,0
459, 2019/12/20 02:00:00,982,982.6,7.1,6.1,5.6,45.9,12.755,1927,3600,9.9,0
460, 2019/12/20 03:00:00,982.59,983.2,6.4,6.1,4.9,46.2,12.734,1917,3600,9.3,0
461, 2019/12/20 04:00:00,982.74,983.3,6.3,6.1,5,43.3,12.718,1995,3600,9.1,0
462, 2019/12/20 05:00:00,983.29,983.8,5.6,6.1,3.9,46.8,12.699,1949,3600,8.5,0
463, 2019/12/20 06:00:00,983.83,984.1,3.4,6,0.9,59.8,12.672,1988,3600,6.8,0
464, 2019/12/20 07:00:00,983.55,983.9,3.1,6.1,3.2,50.4,12.655,1866,3600,6.2,0
465, 2019/12/20 08:00:00,983.12,983.6,4.6,6.2,4.3,46.4,12.651,1982,3600,7.1,0
466, 2019/12/20 09:00:00,983.25,983.8,5.3,6.3,4.1,48.4,12.647,1946,3600,7.8,0
467, 2019/12/20 10:00:00,983.28,983.8,5,6.3,3.2,53.8,12.639,1844,3600,7.6,0
468, 2019/12/20 11:00:00,983.06,983.6,4.9,6.3,3.7,53.5,12.63,1916,3600,7.5,0
469, 2019/12/20 12:00:00,982.81,983.4,5.3,6.4,3.7,54.7,12.627,1901,3600,7.8,0
470, 2019/12/20 13:00:00,983.88,984.4,5.4,6.5,3.5,57.1,12.623,1934,3600,7.8,0
471, 2019/12/20 14:00:00,984.17,984.7,5,6.5,3.1,59.8,12.621,1897,3600,7.5,0
472, 2019/12/20 15:00:00,984.64,985.1,4.8,6.5,3.3,60.9,12.701,1898,3601,7.3,0
473, 2019/12/20 16:00:00,985.2,985.8,5.5,6.6,4.5,58.8,13.046,1965,3600,7.9,0
474, 2019/12/20 17:00:00,985.39,985.8,6.7,6.6,6.2,53.2,13.372,1915,3600,9.2,0
475, 2019/12/20 18:00:00,985.09,985.5,8.5,6.5,7.1,52.3,13.243,1896,3600,11.4,0
476, 2019/12/20 19:00:00,984.17,984.6,9.9,6.5,8,48.8,14.507,1935,3600,12.8,0
477, 2019/12/20 20:00:00,984.01,984.5,11,6.5,8.7,48.5,14.46,1948,3600,13.8,0
478, 2019/12/20 21:00:00,984.36,984.9,12.2,6.4,9.4,42.6,14.03,1910,3600,14.8,0
479, 2019/12/20 22:00:00,984.76,985.2,12.3,6.2,9.5,43.6,14.025,1970,3600,15.1,0
480, 2019/12/20 23:00:00,985.54,985.9,10,6.2,6,53,12.986,1910,3600,13.5,0
481, 2019/12/21 00:00:00,986.19,986.4,4,6.3,2.7,71.2,12.806,1935,3600,8.5,0
482, 2019/12/21 01:00:00,986.38,986.6,1.2,6.4,-0.9,83.1,12.746,1958,3600,5.4,0
483, 2019/12/21 02:00:00,986.74,987.1,-0.4,6.5,-2.4,88.6,12.705,1929,3600,3.4,0
484, 2019/12/21 03:00:00,987,987.3,-1.5,6.6,-2.2,89.1,12.673,1871,3600,2,0
485, 2019/12/21 04:00:00,987.62,987.9,-2.2,6.6,-4,93.9,12.647,1864,3600,1,0
486, 2019/12/21 05:00:00,987.82,988.2,-2.9,6.7,-4.4,93.8,12.622,1891,3600,0.1,0
487, 2019/12/21 06:00:00,987.92,988.2,-3.6,6.7,-5.3,95,12.598,1837,3600,-0.6,0
488, 2019/12/21 07:00:00,987.61,987.8,-4.2,6.8,-5.7,95.6,12.575,1978,3601,-1.3,0
489, 2019/12/21 08:00:00,987.74,988.1,-4.7,6.8,-6.1,95,12.558,1934,3600,-1.9,0
490, 2019/12/21 09:00:00,988.45,988.8,-4.8,6.9,-5.8,96.5,12.543,1939,3600,-2.2,0
491, 2019/12/21 10:00:00,987.89,988.2,-5.1,6.9,-6.7,95.5,12.531,1933,3600,-2.5,0
492, 2019/12/21 11:00:00,988.05,988.4,-5.2,6.9,-6.2,96.2,12.524,1957,3600,-2.7,0
493, 2019/12/21 12:00:00,987.81,988.3,-5.6,7,-7.1,95.1,12.515,1883,3600,-3.1,0
494, 2019/12/21 13:00:00,988.07,988.5,-5.6,7,-6.2,98.1,12.512,1958,3600,-3.1,0
495, 2019/12/21 14:00:00,988.73,989.1,-4.8,7.1,-5.6,97,12.59,1909,3600,-2.5,0
496, 2019/12/21 15:00:00,989.32,989.7,-3.4,7.2,-3.8,91.2,14.886,1827,3600,-1,0
497, 2019/12/21 16:00:00,988.97,989.5,0,7.2,1.3,87.3,14.776,1874,3601,2.4,0
498, 2019/12/21 17:00:00,988.59,989.1,3.4,7.1,2.9,79,13.747,1916,3600,6.1,0
499, 2019/12/21 18:00:00,987.45,988,5.7,7.1,5.3,71.3,13.381,1922,3600,9,0
500, 2019/12/21 19:00:00,986.76,987.3,7.4,7.1,5.1,73.8,14.15,1918,3600,10.7,0
501, 2019/12/21 20:00:00,986.28,986.7,8.8,7.1,6.6,64,14.095,1948,3600,11.8,0
502, 2019/12/21 21:00:00,985.52,986,10.2,7,7.9,57.8,14.058,1925,3600,12.8,0
503, 2019/12/21 22:00:00,985.39,986,10.9,6.8,8.1,55.5,14.059,1890,3600,13.6,0
504, 2019/12/21 23:00:00,985.41,985.9,9,6.8,3.9,70.1,12.974,1922,3600,12.3,0
505, 2019/12/22 00:00:00,986.13,986.4,3.4,6.9,1,79.7,12.815,1917,3600,7.7,0
506, 2019/12/22 01:00:00,986.05,986.4,1.7,7.1,2.8,79.5,12.759,1914,3600,5.6,0
507, 2019/12/22 02:00:00,986.42,986.7,3.4,7.1,3,87,12.736,1882,3600,6.2,0
508, 2019/12/22 03:00:00,986.22,986.5,3.6,7.2,2.3,92.8,12.717,1907,3600,6.3,0
509, 2019/12/22 04:00:00,985.97,986.3,3.3,7.3,2.1,92,12.698,1988,3600,6,0
510, 2019/12/22 05:00:00,986.34,986.5,2.5,7.3,1.6,94.3,12.674,1934,3600,5.4,0
511, 2019/12/22 06:00:00,986.3,986.5,2.5,7.4,1.4,96.9,12.656,1833,3600,5.1,0
512, 2019/12/22 07:00:00,986.02,986.4,3,7.5,2.1,96.9,12.64,1893,3600,5.5,0
513, 2019/12/22 08:00:00,985.86,986.2,3.8,7.7,2.4,96.2,12.624,1960,3601,6.1,0
514, 2019/12/22 09:00:00,985.93,986.3,3.9,7.8,2.3,95.9,12.611,1933,3600,6.3,0
515, 2019/12/22 10:00:00,985.62,985.9,4.1,7.8,2.2,95.9,12.602,1845,3600,6.5,0
516, 2019/12/22 11:00:00,985.14,985.4,3.1,7.7,1,97.7,12.59,1898,3600,5.8,0
517, 2019/12/22 12:00:00,985.31,985.5,1.7,7.8,0.1,97.9,12.577,1892,3600,4.7,0
518, 2019/12/22 13:00:00,984.88,985.3,0.6,7.7,-0.4,98.6,12.566,1934,3600,3.7,0
519, 2019/12/22 14:00:00,984.5,984.9,0.6,7.8,0.5,91.7,12.649,2016,3600,3.4,0
520, 2019/12/22 15:00:00,985.22,985.4,1.6,7.8,1.5,88.1,14.729,1947,3600,4.7,0
521, 2019/12/22 16:00:00,984.95,985.4,4.7,7.7,4.9,74.6,14.65,1945,3600,7.7,0
522, 2019/12/22 17:00:00,984.53,985.1,7.9,7.5,8.1,61.8,13.591,1946,3600,10.9,0
523, 2019/12/22 18:00:00,983.31,984,10.6,7.2,10.6,51.2,13.219,1980,3600,13.8,0
524, 2019/12/22 19:00:00,982.23,982.8,13.3,7,12.3,44.8,14.368,1916,3600,16.3,0
525, 2019/12/22 20:00:00,981.26,981.9,15.3,6.9,13.4,40.1,13.908,2000,3600,18.1,0
